date,first_name,last_name,title,unit,badge
5/1/2021,DAN,SMITH,LIEUTENANT,PATR,L4
5/1/2021,NICHOLAS,SMITH,OFFICER,PATR,80
5/1/2021,JAVIER,SOLA DEL VIGO,OFFICER,ADSV,21
5/1/2021,TYLER,SPARKS,OFFICER,SPEC,48
5/1/2021,JEANELLE,STULL,SUPERVISOR,ADSV,
5/1/2021,ANNA,SUNDLING,,CRS,
5/1/2021,JACOB,THEIS,OFFICER,PATR,50
5/1/2021,STEPHEN,THOMAS,OFFICER,PATR,37
5/1/2021,EDDIE,TOMSIK,OFFICER,PATR,24
5/1/2021,ALEXANDER,WATKINS,OFFICER,PATR,63
5/1/2021,JASON,WATKINS,OFFICER,PATR,44
5/1/2021,ALBERT,WEINNIG,SERGEANT,PATR,S12
5/1/2021,CHARLIE,WILKINS,,CRS,
5/1/2021,BUCK,WILLIAMS,,CRS,
5/1/2021,RANDY,WILSON,OFFICER,PATR,40
5/1/2021,JEFF,WINN,SECRETARY,CORR,
5/1/2021,JASON,WINNER,SERGEANT,PATR,S10
5/1/2021,BRYAN,WYLLIE,SERGEANT,PATR,S3
5/1/2021,MICHELE,ZENICK,PROGRAM ASSISTANT,ADSV,
5/1/2021,REBEKAH,ZIESEMER,SECRETARY,ADSV,
